Name,Platform,Submitted by,Date submitted,Ad Size / Format,Priority,Description,Inspiration,Figma URL,File Upload,Status,Assigned,Slack Thread URL,Message TS
Silver $120 Target GIF,Display,(),03/10/26,300x250,Medium,"Silver $120 Target - Ad Size: 300x250 - Market: Will silver hit $120/oz by December 2026? - Market Link: https://polymarket.com/event/silver-120-by-dec-2026 - Volume: $1.01M - Type: gif - Concept: Silver bar graphic with $120 price target, metallic aesthetic",,,topperforminggif.gif,New,,,1773167268.122929
"Gold $7,000 Target GIF",Display,(),03/10/26,300x250,Medium,"Gold $7,000 Target - Ad Size: 300x250 - Market: Will gold hit $7,000/oz by end of 2026? - Market Link: https://polymarket.com/event/gold-7000-by-2026 - Type: gif - Concept: Gold bar graphic with $7,000 target, parabolic move narrative",,,topperforminggif.gif,New,,,1773167268.122929
US Recession 2026 GIF,Display,(),03/10/26,300x250,Medium,"US Recession 2026 - Ad Size: 300x250 - Market: Will US enter recession by end of 2026? - Market Link: https://polymarket.com/event/us-recession-2026 - Type: gif - Concept: Economic chart graphic, odds display, contrarian angle",,,topperforminggif.gif,New,,,1773167268.122929
EUR/USD Dollar Weakness GIF,Display,(),03/10/26,300x250,Medium,"EUR/USD Dollar Weakness - Ad Size: 300x250 - Market: EUR/USD dollar collapse scenarios - Market Link: https://polymarket.com/event/eur-usd-parity - Type: gif - Concept: Currency symbols ($ vs €), balance scale visual, EUR/USD rate display",,,topperforminggif.gif,New,,,1773167268.122929
Hustler Casino Mariano Graphic,Social,(),03/03/26,,High,Can we get graphics turned around to post this week for Hustler Casino. Caption: Will Mariano win on March 6th?,,,,New,,,1772572557.382149
Patrick Antonius Hustler Casino Graphic,Social,(),02/19/26,,High,Can we get graphics turned around to post this weekend for Patrick Antonius: Hustler Casino Live on February 27th?,,,,New,,,1771541402.299259
League of Legends Trade Banners,Display,(),02/18/26,"1920x1080, 1920x180, 300x600, 300x600",Medium,"Messaging: Trade League of Legends, no house, live trade, best odds, best payouts. Background - 1920 x 1080, Top Banner - 1920x180, Left Banner - 300x600, Right Banner - 300x600",,,Screenshot 2026-02-17 at 6.38.36 PM.png,New,,,1771444257.100949
Sports Markets Graphic,Social,(),02/17/26,,Medium,Imagery should be sports related on the left. The right should include these 3 markets: 1. https://polymarket.com/event/will-lebron-james-retire-before-next-nba-season 2. Lakers vs. Knicks moneyline 3. https://polymarket.com/event/uefa-champions-league-winner,,,image.png,New,,,1771354849.938129
Earnings Quarter Markets Graphic,Newsletter,(),02/09/26,,Medium,"Question: Which companies will beat earnings this quarter? Showcase 3-4 markets we have at https://polymarket.com/earnings Show the $100 -> $150 under text we have similar to the second graphic attached Final text: Trade Earnings, only on polymarket.",,,"Use_this_gif_8.4 (1).gif, newsletter-2-9.png",New,,,1770680454.818089
Main Card Fights Graphic,Social,(),01/28/26,,Medium,"Just looking for main card fights and similar fabricated volume numbers, just like last week",,,IMG_4443.jpg,New,,,1769628538.639309
16:9 Format Graphic,,(),01/27/26,16:9,Medium,need it formatted 16:9,,,"image.png, image.png, image.png",New,,,1769524676.390759
REVENGE TOUR Odds Graphic,Social,(),01/26/26,,Medium,"Headline should be: ""REVENGE TOUR"" for Lopez and odds to use are: Polymarket: +148 Fanduel: +130 Draft Kings: +136 Bet MGM +135",,,#1 Pimblett ML Odds comparison.png,New,,,1769460260.050019
Polymarket Candy Bar Logo Mockups,Social,(),01/12/26,,Medium,Are there any existing paid ads that would make sense to use the Polymarket Candy Bar logo - especially tied to sports? Possible to create a couple of mock ups using the logo in blue square?,,,image.png,New,,,1768267958.375929
Projected Sale Price Graphic,Social,(),01/08/26,,Medium,"numbers should be Logan Paul's Pikachu Illustrator +100% S&P +81% ETH 80% Amazon +78% Tesla +44% Russian Ruble -24% Gamestop -46% Nike -39% on top it should say Projected Sale Price: $10,362,069 (big exciting letters popping out and below that According to polymarket. and then a picture of him wearing the card as the only image on the right side footprint in fine print at the bottom ""Estimate from July 2022 through Jan 8, 2026.""",,,image.png,New,,,1767896248.503839
600x400 Banner Reformat,Display,(),12/08/25,600x400,Medium,Size it needs to reformatted to fit: 600x400,,,banner.png,New,,,1765239968.819369
The Block Homepage Widget,Web,(),03/10/26,,Medium,Need your help making a widget for The Block Homepage.,,,,New,,,1773170574.989339
Trading Comp Fees Update,Social,,11/19/25,,Medium,"can we fix the fees for the trading comp creative

$1k trade, fees for comp should be 10x higher
& lets do a $100 trade version as well, i think the $1k will preform better but lets test",,,"Screenshot 2025-11-19 at 12.56.42 PM.png, image.png",New,,,1763575101.751819
